Insects,Mountains,Elevation,Family,Species,Year,Month,Individuals
Moths,HL,1109,Geometridae,Eupithecia signigera,2013,5,1
Moths,HL,1109,Euteliidae,Phlegetonia delatrix,2014,8,1
Moths,HL,1109,Geometridae,Euphyia cineraria,2013,8,3
Moths,HL,1109,Geometridae,Euphyia cineraria,2014,6,4
Moths,HL,1109,Geometridae,Euphyia cineraria,2014,7,3
Moths,HL,1109,Geometridae,Euphyia cineraria,2014,8,2
Moths,HL,1109,Geometridae,Pseudepione magnaria,2014,10,2
Moths,HL,1109,Geometridae,Acasis viretata,2014,8,1
Moths,HL,1109,Erebidae,Hadennia incongruens,2014,7,1
Moths,HL,1109,Geometridae,Synegia esther,2014,6,1
Moths,HL,1109,Geometridae,Synegia esther,2014,8,1
Moths,HL,1109,Notodontidae,Semidonta biloba,2013,8,2
Moths,HL,1109,Notodontidae,Semidonta biloba,2014,8,1
Moths,HL,1109,Notodontidae,Peridea gigantea,2013,7,1
Moths,HL,1109,Geometridae,Ourapteryx koreana,2013,8,1
Moths,HL,1109,Geometridae,Cleora insolita,2013,5,3
Moths,HL,1109,Geometridae,Cleora insolita,2013,6,1
Moths,HL,1109,Geometridae,Cleora insolita,2014,5,10
Moths,HL,1109,Geometridae,Cleora insolita,2014,6,1
Moths,HL,1109,Notodontidae,Shaka atrovittatus,2013,8,3
Moths,HL,1109,Notodontidae,Shaka atrovittatus,2014,6,3
Moths,HL,1109,Notodontidae,Shaka atrovittatus,2014,7,7
Moths,HL,1109,Notodontidae,Shaka atrovittatus,2014,8,4
Moths,HL,1109,Noctuidae,Amphipoea ussuriensis,2013,8,1
Moths,HL,1109,Noctuidae,Amphipoea ussuriensis,2013,9,2
Moths,HL,1109,Noctuidae,Diachrysia nadeja,2013,9,1
Moths,HL,1109,Geometridae,Pareclipsis gracilis,2013,9,1
Moths,HL,1109,Geometridae,Ectropis crepuscularia,2014,7,2
Moths,HL,1109,Geometridae,Odontopera arida,2013,5,3
Moths,HL,1109,Geometridae,Odontopera arida,2013,10,2
Moths,HL,1109,Geometridae,Odontopera arida,2014,5,2
Moths,HL,1109,Limacodidae,Phlossa conjuncta,2014,7,1
Moths,HL,1109,Drepanidae,Deroca inconclusa,2014,9,1
Moths,HL,1109,Erebidae,Hydrillodes morosa,2013,6,1
Moths,HL,1109,Erebidae,Hydrillodes morosa,2014,6,48
Moths,HL,1109,Erebidae,Hydrillodes morosa,2014,7,11
Moths,HL,1109,Geometridae,Duliophyle agitata,2014,9,2
Moths,HL,1109,Geometridae,Hypomecis punctinalis,2013,6,1
Moths,HL,1109,Geometridae,Hypomecis punctinalis,2013,8,5
Moths,HL,1109,Geometridae,Hypomecis punctinalis,2014,6,16
Moths,HL,1109,Drepanidae,Oreta pulchripes,2013,8,1
Moths,HL,1109,Geometridae,Obeidia tigrata,2013,8,1
Moths,HL,1109,Geometridae,Obeidia tigrata,2014,8,2
Moths,HL,1109,Geometridae,Duliophyle majuscularia,2013,9,3
Moths,HL,1109,Lasiocampidae,Paralebeda plagiata,2013,8,1
Moths,HL,1109,Geometridae,Dysstroma cinereata,2014,5,1
Moths,HL,1109,Geometridae,Endropiodes indictinarius,2014,5,1
Moths,HL,1109,Limacodidae,Latoia sinica,2014,8,1
Moths,HL,1109,Geometridae,Laciniodes denigratus,2014,7,1
Moths,HL,1109,Notodontidae,Quadricalcarifera cyanea,2013,8,2
Moths,HL,1109,Notodontidae,Quadricalcarifera cyanea,2014,5,2
Moths,HL,1109,Notodontidae,Quadricalcarifera cyanea,2014,7,3
Moths,HL,1109,Drepanidae,Ditrigona komarovi,2014,7,1
Moths,HL,1109,Geometridae,Eupithecia subbreviata,2014,5,1
Moths,HL,1109,Noctuidae,Hydraecia petasitis,2013,7,1
Moths,HL,1109,Erebidae,Hypena melanica,2013,9,1
Moths,HL,1109,Geometridae,Menophra senilis,2013,7,5
Moths,HL,1109,Geometridae,Menophra senilis 2013,,8,2
Moths,HL,1109,Geometridae,Menophra senilis 2014,,6,1
Moths,HL,1109,Geometridae,Menophra senilis 2014,,9,1
Moths,HL,1109,Geometridae,Myrteta angelica 2013,,10,1
Moths,HL,1109,Geometridae,Myrteta angelica 2014,,9,5
Moths,HL,1109,Geometridae,Eulithis convergenata 2013,,7,1
Moths,HL,1109,Noctuidae,Trachea atriplicis 2013,,8,1
Moths,HL,1109,Sphingidae,Kentochrysalia streckeri 2013,,8,2
Moths,HL,1109,Noctuidae,Diarsia canescens 2013,,5,1
Moths,HL,1109,Noctuidae,Sineugraphe oceanica 2014,,8,2
Moths,HL,1109,Noctuidae,Triphaenopsis jezoensis 2014,,8,3
Moths,HL,1109,Noctuidae,Xylena confusa 2014,,5,1
Moths,HL,1109,Noctuidae,Diarsia pacifica 2014,,7,1
Moths,HL,1109,Noctuidae,Diarsia pacifica 2014,,9,1
Moths,HL,1109,Noctuidae,Gortyna fortis 2014,,9,1
Moths,HL,1109,Noctuidae,Gortyna fortis 2014,,10,1
Moths,HL,1109,Geometridae,Phthonosema tendinosaria 2014,,7,2
Moths,HL,1109,Geometridae,Phthonosema tendinosaria 2014,,8,1
Moths,HL,1109,Geometridae,Lassaba nikkonis 2013,,5,1
Moths,HL,1109,Geometridae,Lassaba nikkonis 2014,,5,2
Moths,HL,1109,Geometridae,Hypomecis roboraria 2013,,8,1
Moths,HL,1109,Geometridae,Hypomecis roboraria 2014,,7,2
Moths,HL,1109,Geometridae,Eupithecia neosatyrata 2014,,5,1
Moths,HL,1109,Geometridae,Xerodes rufescentaria 2014,,6,1
Moths,HL,1109,Noctuidae,Koyaga falsa 2014,,7,22
Moths,HL,1109,Drepanidae,Ditrigona virgo 2013,,8,1
Moths,HL,1109,Noctuidae,Polychrysia splendida 2014,,8,1
